"District","FIPS","Year","Special Education Status","Variable","Measure Type","Value"
"Regional School District 08","","2016-2017","Non-Special Education","Total Cohort Count","Number",217
"Unified School District #1","","2015-2016","Non-Special Education","Total Cohort Count","Number",217
"Watertown School District","900580490","2010-2011","Non-Special Education","Total Cohort Count","Number",217
"Avon School District","900302060","2016-2017","Non-Special Education","Total Cohort Count","Number",216
"Berlin School District","","2011-2012","Non-Special Education","Four Year Graduation Count","Number",216
"Berlin School District","","2015-2016","Non-Special Education","Four Year Graduation Count","Number",216
"Bethel School District","900104720","2015-2016","Non-Special Education","Total Cohort Count","Number",216
"New Fairfield School District","900150860","2010-2011","Non-Special Education","Total Cohort Count","Number",216
"Windham School District","901586790","2010-2011","Non-Special Education","Total Cohort Count","Number",216
"Avon School District","900302060","2014-2015","Non-Special Education","Total Cohort Count","Number",215
"Bethel School District","900104720","2010-2011","Non-Special Education","Four Year Graduation Count","Number",215
"Colchester School District","901115910","2012-2013","Non-Special Education","Four Year Graduation Count","Number",215
"Colchester School District","901115910","2013-2014","Non-Special Education","Four Year Graduation Count","Number",215
"Connecticut Technical High School System","","2011-2012","Special Education","Four Year Graduation Count","Number",215
"East Haven School District","900922910","2012-2013","Non-Special Education","Total Cohort Count","Number",215
"Regional School District 09","","2015-2016","Non-Special Education","Four Year Graduation Count","Number",215
"Waterbury School District","900980070","2015-2016","Special Education","Total Cohort Count","Number",215
"Branford School District","900907310","2011-2012","Non-Special Education","Four Year Graduation Count","Number",214
"Bridgeport School District","900108070","2012-2013","Non-Special Education","Other Count","Number",214
"New Haven School District","900952070","2014-2015","Non-Special Education","Other Count","Number",214
"Regional School District 19","","2010-2011","Non-Special Education","Four Year Graduation Count","Number",214
"Torrington School District","900576570","2014-2015","Non-Special Education","Total Cohort Count","Number",214
"Bethel School District","900104720","2013-2014","Non-Special Education","Total Cohort Count","Number",213
"Naugatuck School District","900949950","2015-2016","Non-Special Education","Four Year Graduation Count","Number",213
"New Fairfield School District","900150860","2013-2014","Non-Special Education","Total Cohort Count","Number",213
"Regional School District 08","","2016-2017","Non-Special Education","Four Year Graduation Count","Number",213
"Regional School District 09","","2011-2012","Non-Special Education","Total Cohort Count","Number",213
"Waterbury School District","900980070","2015-2016","Non-Special Education","Other Count","Number",213
"Bethel School District","900104720","2012-2013","Non-Special Education","Total Cohort Count","Number",212
"Colchester School District","901115910","2011-2012","Non-Special Education","Four Year Graduation Count","Number",212
"New London School District","901152350","2010-2011","Non-Special Education","Total Cohort Count","Number",212
"Regional School District 09","","2011-2012","Non-Special Education","Four Year Graduation Count","Number",212
"Tolland School District","901376290","2012-2013","Non-Special Education","Four Year Graduation Count","Number",212
"Windsor School District","900387000","2015-2016","Non-Special Education","Four Year Graduation Count","Number",212
"Avon School District","900302060","2014-2015","Non-Special Education","Four Year Graduation Count","Number",211
"Branford School District","900907310","2015-2016","Non-Special Education","Four Year Graduation Count","Number",211
"Hartford School District","900337070","2014-2015","Non-Special Education","Other Count","Number",211
