"District","FIPS","Year","Special Education Status","Variable","Measure Type","Value"
"Elm City Montessori School District","","2013-2014","Special Education","Four Year Graduation Count","Number",-6666
"Elm City Montessori School District","","2013-2014","Non-Special Education","Four Year Graduation Rate","Percent",-6666
"Elm City Montessori School District","","2013-2014","Special Education","Four Year Graduation Rate","Percent",-6666
"Elm City Montessori School District","","2013-2014","Non-Special Education","Still Enrolled After Four Years Count","Number",-6666
"Elm City Montessori School District","","2013-2014","Special Education","Still Enrolled After Four Years Count","Number",-6666
"Elm City Montessori School District","","2013-2014","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Elm City Montessori School District","","2013-2014","Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Elm City Montessori School District","","2013-2014","Non-Special Education","Other Count","Number",-6666
"Elm City Montessori School District","","2013-2014","Special Education","Other Count","Number",-6666
"Elm City Montessori School District","","2013-2014","Non-Special Education","Other Rate","Percent",-6666
"Elm City Montessori School District","","2013-2014","Special Education","Other Rate","Percent",-6666
"Elm City Montessori School District","","2014-2015","Non-Special Education","Total Cohort Count","Number",-6666
"Elm City Montessori School District","","2014-2015","Special Education","Total Cohort Count","Number",-6666
"Elm City Montessori School District","","2014-2015","Non-Special Education","Four Year Graduation Count","Number",-6666
"Elm City Montessori School District","","2014-2015","Special Education","Four Year Graduation Count","Number",-6666
"Elm City Montessori School District","","2014-2015","Non-Special Education","Four Year Graduation Rate","Percent",-6666
"Elm City Montessori School District","","2014-2015","Special Education","Four Year Graduation Rate","Percent",-6666
"Elm City Montessori School District","","2014-2015","Non-Special Education","Still Enrolled After Four Years Count","Number",-6666
"Elm City Montessori School District","","2014-2015","Special Education","Still Enrolled After Four Years Count","Number",-6666
"Elm City Montessori School District","","2014-2015","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Elm City Montessori School District","","2014-2015","Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Elm City Montessori School District","","2014-2015","Non-Special Education","Other Count","Number",-6666
"Elm City Montessori School District","","2014-2015","Special Education","Other Count","Number",-6666
"Elm City Montessori School District","","2014-2015","Non-Special Education","Other Rate","Percent",-6666
"Elm City Montessori School District","","2014-2015","Special Education","Other Rate","Percent",-6666
"Elm City Montessori School District","","2015-2016","Non-Special Education","Total Cohort Count","Number",-6666
"Elm City Montessori School District","","2015-2016","Special Education","Total Cohort Count","Number",-6666
"Elm City Montessori School District","","2015-2016","Non-Special Education","Four Year Graduation Count","Number",-6666
"Elm City Montessori School District","","2015-2016","Special Education","Four Year Graduation Count","Number",-6666
"Elm City Montessori School District","","2015-2016","Non-Special Education","Four Year Graduation Rate","Percent",-6666
"Elm City Montessori School District","","2015-2016","Special Education","Four Year Graduation Rate","Percent",-6666
"Elm City Montessori School District","","2015-2016","Non-Special Education","Still Enrolled After Four Years Count","Number",-6666
"Elm City Montessori School District","","2015-2016","Special Education","Still Enrolled After Four Years Count","Number",-6666
"Elm City Montessori School District","","2015-2016","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Elm City Montessori School District","","2015-2016","Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Elm City Montessori School District","","2015-2016","Non-Special Education","Other Count","Number",-6666
"Elm City Montessori School District","","2015-2016","Special Education","Other Count","Number",-6666
"Elm City Montessori School District","","2015-2016","Non-Special Education","Other Rate","Percent",-6666
"Elm City Montessori School District","","2015-2016","Special Education","Other Rate","Percent",-6666
"Elm City Montessori School District","","2016-2017","Non-Special Education","Total Cohort Count","Number",-6666
"Elm City Montessori School District","","2016-2017","Special Education","Total Cohort Count","Number",-6666
"Elm City Montessori School District","","2016-2017","Non-Special Education","Four Year Graduation Count","Number",-6666
"Elm City Montessori School District","","2016-2017","Special Education","Four Year Graduation Count","Number",-6666
"Elm City Montessori School District","","2016-2017","Non-Special Education","Four Year Graduation Rate","Percent",-6666
"Elm City Montessori School District","","2016-2017","Special Education","Four Year Graduation Rate","Percent",-6666
"Elm City Montessori School District","","2016-2017","Non-Special Education","Still Enrolled After Four Years Count","Number",-6666
"Elm City Montessori School District","","2016-2017","Special Education","Still Enrolled After Four Years Count","Number",-6666
"Elm City Montessori School District","","2016-2017","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Elm City Montessori School District","","2016-2017","Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Elm City Montessori School District","","2016-2017","Non-Special Education","Other Count","Number",-6666
"Elm City Montessori School District","","2016-2017","Special Education","Other Count","Number",-6666
"Elm City Montessori School District","","2016-2017","Non-Special Education","Other Rate","Percent",-6666
"Elm City Montessori School District","","2016-2017","Special Education","Other Rate","Percent",-6666
"Essex School District","","2010-2011","Non-Special Education","Total Cohort Count","Number",-6666
"Essex School District","","2010-2011","Special Education","Total Cohort Count","Number",-6666
"Essex School District","","2010-2011","Non-Special Education","Four Year Graduation Count","Number",-6666
"Essex School District","","2010-2011","Special Education","Four Year Graduation Count","Number",-6666
"Essex School District","","2010-2011","Non-Special Education","Four Year Graduation Rate","Percent",-6666
"Essex School District","","2010-2011","Special Education","Four Year Graduation Rate","Percent",-6666
"Essex School District","","2010-2011","Non-Special Education","Still Enrolled After Four Years Count","Number",-6666
"Essex School District","","2010-2011","Special Education","Still Enrolled After Four Years Count","Number",-6666
"Essex School District","","2010-2011","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Essex School District","","2010-2011","Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Essex School District","","2010-2011","Non-Special Education","Other Count","Number",-6666
"Essex School District","","2010-2011","Special Education","Other Count","Number",-6666
"Essex School District","","2010-2011","Non-Special Education","Other Rate","Percent",-6666
"Essex School District","","2010-2011","Special Education","Other Rate","Percent",-6666
"Essex School District","","2011-2012","Non-Special Education","Total Cohort Count","Number",-6666
"Essex School District","","2011-2012","Special Education","Total Cohort Count","Number",-6666
"Essex School District","","2011-2012","Non-Special Education","Four Year Graduation Count","Number",-6666
"Essex School District","","2011-2012","Special Education","Four Year Graduation Count","Number",-6666
"Essex School District","","2011-2012","Non-Special Education","Four Year Graduation Rate","Percent",-6666
"Essex School District","","2011-2012","Special Education","Four Year Graduation Rate","Percent",-6666
"Essex School District","","2011-2012","Non-Special Education","Still Enrolled After Four Years Count","Number",-6666
"Essex School District","","2011-2012","Special Education","Still Enrolled After Four Years Count","Number",-6666
"Essex School District","","2011-2012","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Essex School District","","2011-2012","Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Essex School District","","2011-2012","Non-Special Education","Other Count","Number",-6666
"Essex School District","","2011-2012","Special Education","Other Count","Number",-6666
"Essex School District","","2011-2012","Non-Special Education","Other Rate","Percent",-6666
"Essex School District","","2011-2012","Special Education","Other Rate","Percent",-6666
"Essex School District","","2012-2013","Non-Special Education","Total Cohort Count","Number",-6666
"Essex School District","","2012-2013","Special Education","Total Cohort Count","Number",-6666
"Essex School District","","2012-2013","Non-Special Education","Four Year Graduation Count","Number",-6666
"Essex School District","","2012-2013","Special Education","Four Year Graduation Count","Number",-6666
"Essex School District","","2012-2013","Non-Special Education","Four Year Graduation Rate","Percent",-6666
"Essex School District","","2012-2013","Special Education","Four Year Graduation Rate","Percent",-6666
"Essex School District","","2012-2013","Non-Special Education","Still Enrolled After Four Years Count","Number",-6666
"Essex School District","","2012-2013","Special Education","Still Enrolled After Four Years Count","Number",-6666
"Essex School District","","2012-2013","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Essex School District","","2012-2013","Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Essex School District","","2012-2013","Non-Special Education","Other Count","Number",-6666
"Essex School District","","2012-2013","Special Education","Other Count","Number",-6666
"Essex School District","","2012-2013","Non-Special Education","Other Rate","Percent",-6666
"Essex School District","","2012-2013","Special Education","Other Rate","Percent",-6666
"Essex School District","","2013-2014","Non-Special Education","Total Cohort Count","Number",-6666
"Essex School District","","2013-2014","Special Education","Total Cohort Count","Number",-6666
"Essex School District","","2013-2014","Non-Special Education","Four Year Graduation Count","Number",-6666
"Essex School District","","2013-2014","Special Education","Four Year Graduation Count","Number",-6666
"Essex School District","","2013-2014","Non-Special Education","Four Year Graduation Rate","Percent",-6666
"Essex School District","","2013-2014","Special Education","Four Year Graduation Rate","Percent",-6666
"Essex School District","","2013-2014","Non-Special Education","Still Enrolled After Four Years Count","Number",-6666
"Essex School District","","2013-2014","Special Education","Still Enrolled After Four Years Count","Number",-6666
"Essex School District","","2013-2014","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Essex School District","","2013-2014","Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Essex School District","","2013-2014","Non-Special Education","Other Count","Number",-6666
"Essex School District","","2013-2014","Special Education","Other Count","Number",-6666
"Essex School District","","2013-2014","Non-Special Education","Other Rate","Percent",-6666
"Essex School District","","2013-2014","Special Education","Other Rate","Percent",-6666
"Essex School District","","2014-2015","Non-Special Education","Total Cohort Count","Number",-6666
"Essex School District","","2014-2015","Special Education","Total Cohort Count","Number",-6666
"Essex School District","","2014-2015","Non-Special Education","Four Year Graduation Count","Number",-6666
"Essex School District","","2014-2015","Special Education","Four Year Graduation Count","Number",-6666
"Essex School District","","2014-2015","Non-Special Education","Four Year Graduation Rate","Percent",-6666
"Essex School District","","2014-2015","Special Education","Four Year Graduation Rate","Percent",-6666
"Essex School District","","2014-2015","Non-Special Education","Still Enrolled After Four Years Count","Number",-6666
"Essex School District","","2014-2015","Special Education","Still Enrolled After Four Years Count","Number",-6666
"Essex School District","","2014-2015","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Essex School District","","2014-2015","Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Essex School District","","2014-2015","Non-Special Education","Other Count","Number",-6666
"Essex School District","","2014-2015","Special Education","Other Count","Number",-6666
"Essex School District","","2014-2015","Non-Special Education","Other Rate","Percent",-6666
"Essex School District","","2014-2015","Special Education","Other Rate","Percent",-6666
"Essex School District","","2015-2016","Non-Special Education","Total Cohort Count","Number",-6666
"Essex School District","","2015-2016","Special Education","Total Cohort Count","Number",-6666
"Essex School District","","2015-2016","Non-Special Education","Four Year Graduation Count","Number",-6666
"Essex School District","","2015-2016","Special Education","Four Year Graduation Count","Number",-6666
"Essex School District","","2015-2016","Non-Special Education","Four Year Graduation Rate","Percent",-6666
"Essex School District","","2015-2016","Special Education","Four Year Graduation Rate","Percent",-6666
"Essex School District","","2015-2016","Non-Special Education","Still Enrolled After Four Years Count","Number",-6666
"Essex School District","","2015-2016","Special Education","Still Enrolled After Four Years Count","Number",-6666
"Essex School District","","2015-2016","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Essex School District","","2015-2016","Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Essex School District","","2015-2016","Non-Special Education","Other Count","Number",-6666
"Essex School District","","2015-2016","Special Education","Other Count","Number",-6666
"Essex School District","","2015-2016","Non-Special Education","Other Rate","Percent",-6666
"Essex School District","","2015-2016","Special Education","Other Rate","Percent",-6666
"Essex School District","","2016-2017","Non-Special Education","Total Cohort Count","Number",-6666
"Essex School District","","2016-2017","Special Education","Total Cohort Count","Number",-6666
"Essex School District","","2016-2017","Non-Special Education","Four Year Graduation Count","Number",-6666
"Essex School District","","2016-2017","Special Education","Four Year Graduation Count","Number",-6666
"Essex School District","","2016-2017","Non-Special Education","Four Year Graduation Rate","Percent",-6666
"Essex School District","","2016-2017","Special Education","Four Year Graduation Rate","Percent",-6666
"Essex School District","","2016-2017","Non-Special Education","Still Enrolled After Four Years Count","Number",-6666
"Essex School District","","2016-2017","Special Education","Still Enrolled After Four Years Count","Number",-6666
"Essex School District","","2016-2017","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Essex School District","","2016-2017","Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Essex School District","","2016-2017","Non-Special Education","Other Count","Number",-6666
"Essex School District","","2016-2017","Special Education","Other Count","Number",-6666
"Essex School District","","2016-2017","Non-Special Education","Other Rate","Percent",-6666
"Essex School District","","2016-2017","Special Education","Other Rate","Percent",-6666
"Franklin School District","","2010-2011","Non-Special Education","Total Cohort Count","Number",-6666
"Franklin School District","","2010-2011","Special Education","Total Cohort Count","Number",-6666
"Franklin School District","","2010-2011","Non-Special Education","Four Year Graduation Count","Number",-6666
"Franklin School District","","2010-2011","Special Education","Four Year Graduation Count","Number",-6666
"Franklin School District","","2010-2011","Non-Special Education","Four Year Graduation Rate","Percent",-6666
"Franklin School District","","2010-2011","Special Education","Four Year Graduation Rate","Percent",-6666
"Franklin School District","","2010-2011","Non-Special Education","Still Enrolled After Four Years Count","Number",-6666
"Franklin School District","","2010-2011","Special Education","Still Enrolled After Four Years Count","Number",-6666
"Franklin School District","","2010-2011","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Franklin School District","","2010-2011","Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Franklin School District","","2010-2011","Non-Special Education","Other Count","Number",-6666
"Franklin School District","","2010-2011","Special Education","Other Count","Number",-6666
"Franklin School District","","2010-2011","Non-Special Education","Other Rate","Percent",-6666
"Franklin School District","","2010-2011","Special Education","Other Rate","Percent",-6666
"Franklin School District","","2011-2012","Non-Special Education","Total Cohort Count","Number",-6666
"Franklin School District","","2011-2012","Special Education","Total Cohort Count","Number",-6666
"Franklin School District","","2011-2012","Non-Special Education","Four Year Graduation Count","Number",-6666
"Franklin School District","","2011-2012","Special Education","Four Year Graduation Count","Number",-6666
"Franklin School District","","2011-2012","Non-Special Education","Four Year Graduation Rate","Percent",-6666
"Franklin School District","","2011-2012","Special Education","Four Year Graduation Rate","Percent",-6666
"Franklin School District","","2011-2012","Non-Special Education","Still Enrolled After Four Years Count","Number",-6666
"Franklin School District","","2011-2012","Special Education","Still Enrolled After Four Years Count","Number",-6666
"Franklin School District","","2011-2012","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Franklin School District","","2011-2012","Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Franklin School District","","2011-2012","Non-Special Education","Other Count","Number",-6666
"Franklin School District","","2011-2012","Special Education","Other Count","Number",-6666
"Franklin School District","","2011-2012","Non-Special Education","Other Rate","Percent",-6666
"Franklin School District","","2011-2012","Special Education","Other Rate","Percent",-6666
"Franklin School District","","2012-2013","Non-Special Education","Total Cohort Count","Number",-6666
"Franklin School District","","2012-2013","Special Education","Total Cohort Count","Number",-6666
"Franklin School District","","2012-2013","Non-Special Education","Four Year Graduation Count","Number",-6666
"Franklin School District","","2012-2013","Special Education","Four Year Graduation Count","Number",-6666
"Franklin School District","","2012-2013","Non-Special Education","Four Year Graduation Rate","Percent",-6666
"Franklin School District","","2012-2013","Special Education","Four Year Graduation Rate","Percent",-6666
"Franklin School District","","2012-2013","Non-Special Education","Still Enrolled After Four Years Count","Number",-6666
"Franklin School District","","2012-2013","Special Education","Still Enrolled After Four Years Count","Number",-6666
"Franklin School District","","2012-2013","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Franklin School District","","2012-2013","Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Franklin School District","","2012-2013","Non-Special Education","Other Count","Number",-6666
"Franklin School District","","2012-2013","Special Education","Other Count","Number",-6666
"Franklin School District","","2012-2013","Non-Special Education","Other Rate","Percent",-6666
"Franklin School District","","2012-2013","Special Education","Other Rate","Percent",-6666
"Franklin School District","","2013-2014","Non-Special Education","Total Cohort Count","Number",-6666
"Franklin School District","","2013-2014","Special Education","Total Cohort Count","Number",-6666
"Franklin School District","","2013-2014","Non-Special Education","Four Year Graduation Count","Number",-6666
"Franklin School District","","2013-2014","Special Education","Four Year Graduation Count","Number",-6666
"Franklin School District","","2013-2014","Non-Special Education","Four Year Graduation Rate","Percent",-6666
"Franklin School District","","2013-2014","Special Education","Four Year Graduation Rate","Percent",-6666
"Franklin School District","","2013-2014","Non-Special Education","Still Enrolled After Four Years Count","Number",-6666
"Franklin School District","","2013-2014","Special Education","Still Enrolled After Four Years Count","Number",-6666
"Franklin School District","","2013-2014","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Franklin School District","","2013-2014","Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Franklin School District","","2013-2014","Non-Special Education","Other Count","Number",-6666
"Franklin School District","","2013-2014","Special Education","Other Count","Number",-6666
"Franklin School District","","2013-2014","Non-Special Education","Other Rate","Percent",-6666
"Franklin School District","","2013-2014","Special Education","Other Rate","Percent",-6666
"Franklin School District","","2014-2015","Non-Special Education","Total Cohort Count","Number",-6666
"Franklin School District","","2014-2015","Special Education","Total Cohort Count","Number",-6666
"Franklin School District","","2014-2015","Non-Special Education","Four Year Graduation Count","Number",-6666
"Franklin School District","","2014-2015","Special Education","Four Year Graduation Count","Number",-6666
"Franklin School District","","2014-2015","Non-Special Education","Four Year Graduation Rate","Percent",-6666
"Franklin School District","","2014-2015","Special Education","Four Year Graduation Rate","Percent",-6666
"Franklin School District","","2014-2015","Non-Special Education","Still Enrolled After Four Years Count","Number",-6666
"Franklin School District","","2014-2015","Special Education","Still Enrolled After Four Years Count","Number",-6666
"Franklin School District","","2014-2015","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Franklin School District","","2014-2015","Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Franklin School District","","2014-2015","Non-Special Education","Other Count","Number",-6666
"Franklin School District","","2014-2015","Special Education","Other Count","Number",-6666
"Franklin School District","","2014-2015","Non-Special Education","Other Rate","Percent",-6666
"Franklin School District","","2014-2015","Special Education","Other Rate","Percent",-6666
"Franklin School District","","2015-2016","Non-Special Education","Total Cohort Count","Number",-6666
"Franklin School District","","2015-2016","Special Education","Total Cohort Count","Number",-6666
"Franklin School District","","2015-2016","Non-Special Education","Four Year Graduation Count","Number",-6666
"Franklin School District","","2015-2016","Special Education","Four Year Graduation Count","Number",-6666
"Franklin School District","","2015-2016","Non-Special Education","Four Year Graduation Rate","Percent",-6666
"Franklin School District","","2015-2016","Special Education","Four Year Graduation Rate","Percent",-6666
"Franklin School District","","2015-2016","Non-Special Education","Still Enrolled After Four Years Count","Number",-6666
"Franklin School District","","2015-2016","Special Education","Still Enrolled After Four Years Count","Number",-6666
"Franklin School District","","2015-2016","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Franklin School District","","2015-2016","Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Franklin School District","","2015-2016","Non-Special Education","Other Count","Number",-6666
"Franklin School District","","2015-2016","Special Education","Other Count","Number",-6666
"Franklin School District","","2015-2016","Non-Special Education","Other Rate","Percent",-6666
"Franklin School District","","2015-2016","Special Education","Other Rate","Percent",-6666
"Franklin School District","","2016-2017","Non-Special Education","Total Cohort Count","Number",-6666
"Franklin School District","","2016-2017","Special Education","Total Cohort Count","Number",-6666
"Franklin School District","","2016-2017","Non-Special Education","Four Year Graduation Count","Number",-6666
"Franklin School District","","2016-2017","Special Education","Four Year Graduation Count","Number",-6666
"Franklin School District","","2016-2017","Non-Special Education","Four Year Graduation Rate","Percent",-6666
"Franklin School District","","2016-2017","Special Education","Four Year Graduation Rate","Percent",-6666
"Franklin School District","","2016-2017","Non-Special Education","Still Enrolled After Four Years Count","Number",-6666
"Franklin School District","","2016-2017","Special Education","Still Enrolled After Four Years Count","Number",-6666
"Franklin School District","","2016-2017","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Franklin School District","","2016-2017","Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Franklin School District","","2016-2017","Non-Special Education","Other Count","Number",-6666
"Franklin School District","","2016-2017","Special Education","Other Count","Number",-6666
"Franklin School District","","2016-2017","Non-Special Education","Other Rate","Percent",-6666
"Franklin School District","","2016-2017","Special Education","Other Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2010-2011","Non-Special Education","Total Cohort Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2010-2011","Special Education","Total Cohort Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2010-2011","Non-Special Education","Four Year Graduation Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2010-2011","Special Education","Four Year Graduation Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2010-2011","Non-Special Education","Four Year Graduation Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2010-2011","Special Education","Four Year Graduation Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2010-2011","Non-Special Education","Still Enrolled After Four Years Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2010-2011","Special Education","Still Enrolled After Four Years Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2010-2011","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2010-2011","Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2010-2011","Non-Special Education","Other Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2010-2011","Special Education","Other Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2010-2011","Non-Special Education","Other Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2010-2011","Special Education","Other Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2011-2012","Non-Special Education","Total Cohort Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2011-2012","Special Education","Total Cohort Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2011-2012","Non-Special Education","Four Year Graduation Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2011-2012","Special Education","Four Year Graduation Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2011-2012","Non-Special Education","Four Year Graduation Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2011-2012","Special Education","Four Year Graduation Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2011-2012","Non-Special Education","Still Enrolled After Four Years Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2011-2012","Special Education","Still Enrolled After Four Years Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2011-2012","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2011-2012","Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2011-2012","Non-Special Education","Other Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2011-2012","Special Education","Other Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2011-2012","Non-Special Education","Other Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2011-2012","Special Education","Other Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2012-2013","Non-Special Education","Total Cohort Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2012-2013","Special Education","Total Cohort Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2012-2013","Non-Special Education","Four Year Graduation Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2012-2013","Special Education","Four Year Graduation Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2012-2013","Non-Special Education","Four Year Graduation Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2012-2013","Special Education","Four Year Graduation Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2012-2013","Non-Special Education","Still Enrolled After Four Years Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2012-2013","Special Education","Still Enrolled After Four Years Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2012-2013","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2012-2013","Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2012-2013","Non-Special Education","Other Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2012-2013","Special Education","Other Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2012-2013","Non-Special Education","Other Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2012-2013","Special Education","Other Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2013-2014","Non-Special Education","Total Cohort Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2013-2014","Special Education","Total Cohort Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2013-2014","Non-Special Education","Four Year Graduation Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2013-2014","Special Education","Four Year Graduation Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2013-2014","Non-Special Education","Four Year Graduation Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2013-2014","Special Education","Four Year Graduation Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2013-2014","Non-Special Education","Still Enrolled After Four Years Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2013-2014","Special Education","Still Enrolled After Four Years Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2013-2014","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2013-2014","Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2013-2014","Non-Special Education","Other Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2013-2014","Special Education","Other Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2013-2014","Non-Special Education","Other Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2013-2014","Special Education","Other Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2014-2015","Non-Special Education","Total Cohort Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2014-2015","Special Education","Total Cohort Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2014-2015","Non-Special Education","Four Year Graduation Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2014-2015","Special Education","Four Year Graduation Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2014-2015","Non-Special Education","Four Year Graduation Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2014-2015","Special Education","Four Year Graduation Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2014-2015","Non-Special Education","Still Enrolled After Four Years Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2014-2015","Special Education","Still Enrolled After Four Years Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2014-2015","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2014-2015","Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2014-2015","Non-Special Education","Other Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2014-2015","Special Education","Other Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2014-2015","Non-Special Education","Other Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2014-2015","Special Education","Other Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2015-2016","Non-Special Education","Total Cohort Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2015-2016","Special Education","Total Cohort Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2015-2016","Non-Special Education","Four Year Graduation Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2015-2016","Special Education","Four Year Graduation Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2015-2016","Non-Special Education","Four Year Graduation Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2015-2016","Special Education","Four Year Graduation Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2015-2016","Non-Special Education","Still Enrolled After Four Years Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2015-2016","Special Education","Still Enrolled After Four Years Count","Number",-6666
"Great Oaks Charter School Bridgeport","","2015-2016","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-6666
"Great Oaks Charter School Bridgeport","","2015-2016","Special Education","Still Enrolled After Four Years Rate","Percent",-6666
