"Four-Year Graduation Rates, Trend"
"All Districts, Special Education Status"

"",,"Graduates",,,,
"",,"Four-Year Graduation Rate by Year",,,,
"District","Special Education Status","2010-11","2011-12","2012-13","2013-14","2014-15"
"Amistad Academy District","Non-Special Education",58.6,71.4,"*","*","*"
"Amistad Academy District","Special Education","N/A","N/A","*","*","*"
"Ansonia School District","Non-Special Education",72.9,77.8,77.0,79.3,86.1
"Ansonia School District","Special Education",40.9,64.0,64.0,52.9,66.7
"Avon School District","Non-Special Education",96.9,98.0,97.4,99.2,98.1
"Avon School District","Special Education",84.0,83.8,84.8,82.1,81.8
"Berlin School District","Non-Special Education",94.4,96.9,97.1,98.0,96.6
"Berlin School District","Special Education",89.7,82.5,87.5,75.8,78.1
"Bethel School District","Non-Special Education",96.8,97.1,96.2,94.4,97.3
"Bethel School District","Special Education",60.7,72.4,59.1,80.6,87.5
"Bloomfield School District","Non-Special Education",79.2,80.4,90.4,91.9,93.8
"Bloomfield School District","Special Education",46.4,64.3,73.7,57.1,56.7
"Bolton School District","Non-Special Education","*","*",98.6,"*",100.0
"Bolton School District","Special Education","*","*",90.9,"*",72.7
"Branford School District","Non-Special Education",96.0,95.5,94.1,93.3,94.5
"Branford School District","Special Education",77.8,76.5,78.8,78.3,60.6
"Bridgeport Achievement First District","Non-Special Education","N/A","N/A","N/A","N/A","*"
"Bridgeport Achievement First District","Special Education","N/A","N/A","N/A","N/A","*"
"Bridgeport School District","Non-Special Education",64.0,69.5,70.3,74.9,66.6
"Bridgeport School District","Special Education",36.4,47.3,50.0,50.6,48.5
"Bristol School District","Non-Special Education",78.8,87.9,84.5,85.1,85.3
"Bristol School District","Special Education",60.3,68.8,55.4,66.4,59.8
"Brookfield School District","Non-Special Education",95.3,98.7,96.9,98.1,97.6
"Brookfield School District","Special Education",83.3,78.9,80.0,86.4,77.8
"Canton School District","Non-Special Education",96.1,98.1,98.1,97.5,98.3
"Canton School District","Special Education",82.4,91.7,72.2,72.2,75.0
"Capitol Region Education Council","Non-Special Education",85.2,85.0,86.4,89.4,92.5
"Capitol Region Education Council","Special Education",63.6,54.1,72.0,79.2,71.0
"Cheshire School District","Non-Special Education",97.9,98.9,97.9,99.4,100.0
"Cheshire School District","Special Education",70.7,73.5,74.1,70.9,75.6
"Clinton School District","Non-Special Education",92.9,95.1,92.6,95.8,92.9
"Clinton School District","Special Education",89.5,81.0,66.7,61.5,71.4
"Colchester School District","Non-Special Education",93.8,97.2,95.6,97.7,93.4
"Colchester School District","Special Education",84.6,75.0,75.0,78.6,83.9
"Common Ground High School District","Non-Special Education",90.0,"*","*","*","*"
"Common Ground High School District","Special Education",75.0,"*","*","*","*"
