"Four-Year Graduation Rates, Trend"
"State of Connecticut, Special Education Status"

"",,"Non-Graduates",,,,,,,,,
"",,"Four-Year Still Enrolled Rate by Year",,,,,"Four-Year Other Rate by Year",,,,
"District","Special Education Status","2010-11","2011-12","2012-13","2013-14","2014-15","2010-11","2011-12","2012-13","2013-14","2014-15"
"State of Connecticut","Non-Special Education",10.2,8.8,7.9,6.6,6.9,4.4,3.1,3.5,3.1,2.3
"State of Connecticut","Special Education",15.7,15.7,14.8,12.3,15.5,21.6,19.8,20.5,22.6,18.8

