"Four-Year Graduation Rates, Trend"
"All Districts, Special Education Status"

"",,"Non-Graduates",,,,,,,,,
"",,"Four-Year Still Enrolled Rate by Year",,,,,"Four-Year Other Rate by Year",,,,
"District","Special Education Status","2010-11","2011-12","2012-13","2013-14","2014-15","2010-11","2011-12","2012-13","2013-14","2014-15"
"Amistad Academy District","Non-Special Education","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","Special Education","N/A","N/A","*","*","*","N/A","N/A","*","*","*"
"Ansonia School District","Non-Special Education","*",16.7,"*","*","*",9.0,"*",9.6,"*","*"
"Ansonia School District","Special Education","*",28.0,"*","*","*",36.4,"*",28.0,"*","*"
"Avon School District","Non-Special Education","*","*","*","*","*","*","*","*","*","*"
"Avon School District","Special Education","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","Non-Special Education","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","Special Education","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","Non-Special Education","*","*","*","*","*","*","*",3.3,"*","*"
"Bethel School District","Special Education","*","*","*","*","*","*","*",31.8,"*","*"
"Bloomfield School District","Non-Special Education","*","*","*","*","*",9.4,12.5,"*","*","*"
"Bloomfield School District","Special Education","*","*","*","*","*",42.9,28.6,"*","*","*"
"Bolton School District","Non-Special Education","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","Special Education","*","*","*","*","*","*","*","*","*","*"
"Branford School District","Non-Special Education","*","*","*","*","*","*","*","*","*","*"
"Branford School District","Special Education","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","Non-Special Education","N/A","N/A","N/A","N/A","*","N/A","N/A","N/A","N/A","*"
"Bridgeport Achievement First District","Special Education","N/A","N/A","N/A","N/A","*","N/A","N/A","N/A","N/A","*"
"Bridgeport School District","Non-Special Education",25.0,23.7,20.4,19.2,25.1,11.0,6.8,9.3,6.0,8.3
"Bridgeport School District","Special Education",35.9,28.3,29.4,18.6,22.5,27.7,23.9,20.6,30.8,29.0
"Bristol School District","Non-Special Education",13.6,8.0,9.9,8.5,10.8,7.6,4.1,5.6,6.4,3.9
"Bristol School District","Special Education",14.1,10.8,20.8,12.3,21.6,25.6,20.4,23.8,21.3,18.6
"Brookfield School District","Non-Special Education","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","Special Education","*","*","*","*","*","*","*","*","*","*"
"Canton School District","Non-Special Education","*","*","*","*","*","*","*","*","*","*"
"Canton School District","Special Education","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","Non-Special Education","*",13.9,"*","*","*",3.6,"*","*","*","*"
"Capitol Region Education Council","Special Education","*",16.4,"*","*","*",27.3,"*","*","*","*"
"Cheshire School District","Non-Special Education","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","Special Education","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","Non-Special Education","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","Special Education","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","Non-Special Education","*","*","*","*","*","*","*",3.1,"*","*"
"Colchester School District","Special Education","*","*","*","*","*","*","*",21.4,"*","*"
"Common Ground High School District","Non-Special Education","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","Special Education","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","Non-Special Education",6.2,3.9,"*",2.8,2.2,"*","*","*","*","*"
"Connecticut Technical High School System","Special Education",4.9,2.7,"*",3.3,2.5,"*","*","*","*","*"
"Coventry School District","Non-Special Education","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","Special Education","*","*","*","*","*","*","*","*","*","*"
"Cromwell School District","Non-Special Education","*","*","*","*","*","*","*","*","*","*"
"Cromwell School District","Special Education","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","Non-Special Education",12.6,10.9,11.1,10.7,12.6,8.1,9.3,9.9,7.3,8.9
"Danbury School District","Special Education",15.8,12.3,15.5,14.0,11.9,26.3,35.8,38.1,39.5,22.6
"Darien School District","Non-Special Education","*","*","*","*","*","*","*","*","*","*"
"Darien School District","Special Education","*","*","*","*","*","*","*","*","*","*"
"Department of Mental Health and Addiction Services","Non-Special Education","N/A","N/A","*","N/A","N/A","N/A","N/A","*","N/A","N/A"
"Department of Mental Health and Addiction Services","Special Education","N/A","N/A","*","*","N/A","N/A","N/A","*","*","N/A"
"Derby School District","Non-Special Education","*","*","*","*","*","*","*",17.5,"*","*"
"Derby School District","Special Education","*","*","*","*","*","*","*",54.5,"*","*"
"East Granby School District","Non-Special Education","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","Special Education","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","Non-Special Education","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","Special Education","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","Non-Special Education","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","Special Education","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","Non-Special Education",11.0,13.1,12.4,9.3,6.2,6.6,5.7,6.0,9.3,2.6
"East Hartford School District","Special Education",16.3,16.3,22.7,13.6,13.4,22.5,27.9,19.3,22.7,14.4
"East Haven School District","Non-Special Education",8.5,17.5,15.8,12.1,18.5,3.7,5.7,"*","*","*"
"East Haven School District","Special Education",20.7,30.6,35.5,32.4,27.3,20.7,22.2,"*","*","*"
"East Lyme School District","Non-Special Education","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","Special Education","*","*","*","*","*","*","*","*","*","*"
"East Windsor School District","Non-Special Education","*","*","*","*","*","*","*","*","*","*"
"East Windsor School District","Special Education","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-Special Education","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Special Education","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","Non-Special Education","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","Special Education","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","Non-Special Education","N/A","*","*","*","*","N/A","*","*","*","*"
"Elm City College Preparatory School District","Special Education","N/A","*","N/A","*","*","N/A","*","N/A","*","*"
"Enfield School District","Non-Special Education",8.9,7.0,6.3,6.6,8.3,6.6,2.8,2.4,"*",1.8
"Enfield School District","Special Education",18.5,18.6,18.2,21.7,16.7,27.8,20.9,16.7,"*",16.7
"Explorations District","Non-Special Education","*","*","*","*","*","*","*","*","*","*"
"Explorations District","Special Education","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","Non-Special Education","*","*","*",1.9,1.4,2.0,1.8,2.6,1.2,1.0
"Fairfield School District","Special Education","*","*","*",7.4,8.6,24.1,11.8,25.9,23.5,19.4
"Farmington School District","Non-Special Education","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","Special Education","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","Non-Special Education","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","Special Education","*","*","*","*","*","*","*","*","*","*"
"Granby School District","Non-Special Education","*","*","*","*","*","*","*","*","*","*"
"Granby School District","Special Education","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","Non-Special Education","*","*","*","*","*",2.3,2.9,2.0,2.6,1.6
"Greenwich School District","Special Education","*","*","*","*","*",20.0,12.6,14.4,11.8,16.9
"Griswold School District","Non-Special Education",9.0,"*","*",7.1,"*",3.9,"*","*","*","*"
"Griswold School District","Special Education",36.4,"*","*",20.0,"*",31.8,"*","*","*","*"
"Groton School District","Non-Special Education",15.2,14.5,11.4,11.3,"*","*","*",2.1,"*","*"
"Groton School District","Special Education",23.5,14.3,17.0,14.3,"*","*","*",25.5,"*","*"
"Guilford School District","Non-Special Education","*","*","*","*","*","*","*","*","*","*"
"Guilford School District","Special Education","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","Non-Special Education",9.2,6.9,"*","*",5.2,5.3,4.8,7.2,3.3,1.8
"Hamden School District","Special Education",10.5,17.0,"*","*",13.8,21.1,18.2,22.4,32.8,20.0
"Hartford School District","Non-Special Education",23.4,16.6,19.2,14.7,17.4,9.3,13.5,4.3,9.7,8.4
"Hartford School District","Special Education",34.4,23.4,35.0,20.7,22.3,21.4,34.2,17.3,27.0,26.0
"Killingly School District","Non-Special Education",21.1,13.8,12.1,"*",10.0,3.5,5.0,8.4,6.5,6.5
"Killingly School District","Special Education",33.3,21.9,24.2,"*",27.3,25.9,21.9,27.3,21.2,30.3
"Learn","Non-Special Education","N/A","N/A","*","*","*","N/A","N/A","*","*","*"
"Learn","Special Education","N/A","N/A","*","*","*","N/A","N/A","*","*","*"
"Lebanon School District","Non-Special Education","*","*","*","*","*","*","*","*","*","*"
"Lebanon School District","Special Education","*","*","*","*","*","*","*","*","*","*"
"Ledyard School District","Non-Special Education","*","*","*","*","*","*","*",3.0,"*","*"
"Ledyard School District","Special Education","*","*","*","*","*","*","*",24.1,"*","*"
"Lisbon School District","Non-Special Education","N/A","*","*","*","N/A","N/A","*","*","*","N/A"
"Lisbon School District","Special Education","*","*","*","*","N/A","*","*","*","*","N/A"
"Litchfield School District","Non-Special Education","*","*","*","*","*","*","*","*","*","*"
